10757.3	unknown	19366	Bacteriophage PZA (from B.subtilis), complete genome.	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;Picovirinae; Phi29-like viruses; Bacillus phage phi29.	unknown	Bacillus subtilis	Bacillus
1076630.3	unknown	67324	Mycobacterium phage AnnaL29, complete genome.	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae;unclassified Siphoviridae.	unknown	Mycobacterium smegmatis	Mycobacterium
233894.4	unknown	161475	Aeromonas phage 25.	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;T4-like viruses.	unknown	Aeromonas	Aeromonas
310953.3	unknown	5577	Coliphage ID11.	Viruses; ssDNA viruses; Microviridae; Microvirus.	unknown	Escherichia coli	Escherichia
440576.4	unknown	2435	Leuconostoc phage L5, complete genome.	Viruses; unclassified phages.	unknown	Leuconostoc	Leuconostoc
665883.2	unknown	32182	Viruses Lactococcus phage CB13 Viruses.	Viruses.	unknown	Lactococcus	Lactococcus
665886.2	unknown	28643	Viruses Lactococcus phage CB19 Viruses.	Viruses.	unknown	Lactococcus	Lactococcus
665887.2	unknown	28625	Viruses Lactococcus phage CB20 Viruses.	Viruses.	unknown	Lactococcus	Lactococcus
6666666.13470	unknown	50614	Mycobacterium phage Pari Mycobacterium-phage-Pari	Viruses; dsDNA viruses, no RNA stage; Caudovirales.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.13471	unknown	71184	Mycobacterium phage Frederick Mycobacterium-phage-Frederick	Viruses; dsDNA viruses, no RNA stage; Caudovirales.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.13472	unknown	51372	Mycobacterium phage Maverick Mycobacterium-phage-Maverick	Viruses; dsDNA viruses, no RNA stage; Caudovirales.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.17467	unknown	108297	Mycobacterium-phage-Redno2	.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.17468	unknown	57775	Mycobacterium-phage-Saal	.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.17469	unknown	72790	Mycobacterium-phage-Nelitza	.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.19976	unknown	58338	Mycobacterium phage Ovechkin	.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.19977	unknown	57713	Mycobacterium phage Batiatus	.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.19978	unknown	51543	Mycobacterium phage Theia	.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.34168	unknown	96337	Bas Gut Phage	.	unknown	Bacteroides	Bacteroides
6666666.3708	unknown	59672	Mycophage BarrelRoll	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3709	unknown	74997	Mycophage Bask21	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3710	unknown	51083	Mycophage Benedict	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3712	unknown	51821	Mycophage BillKnuckles	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3713	unknown	52288	Mycophage Blue7	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3715	unknown	53171	Mycophage BPBiebs31	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3724	unknown	68850	Mycophage ABU	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3725	unknown	69864	Mycophage Acadian	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3726	unknown	59646	Mycophage Adephagia	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3728	unknown	51241	Mycophage Airmid	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3729	unknown	68711	Mycophage Akoma	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3730	unknown	153401	Mycophage Alice	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3731	unknown	60835	Mycophage Anaya	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3734	unknown	67169	Mycophage Arbiter	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3736	unknown	67436	Mycophage Ares	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3737	unknown	69409	Mycophage Athena	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3739	unknown	48420	Mycophage Babsiella	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3740	unknown	51308	Mycophage Backyardigan	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3741	unknown	111688	Mycophage BAKA	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3747	unknown	70428	Mycophage ChrisnMich	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3749	unknown	67774	Mycophage Colbert	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3754	unknown	68245	Mycophage Daisy	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3755	unknown	51547	Mycophage DaVinci	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3757	unknown	51421	Mycophage Doom	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3758	unknown	64613	Mycophage Dori	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3759	unknown	55363	Mycophage DotProduct	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3760	unknown	54411	Mycophage Drago	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3761	unknown	156281	Mycophage Drazdys	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3762	unknown	60588	Mycophage DS6A	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3763	unknown	74675	Mycophage Elph10	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
