Accession Number	Phage Name	Phage Family	Bacterial Host Genus	Bacterial Host Species	Phage2014_train	Phage2014_eval Reference Sequence
310953.3	Coliphage ID11.	Viruses; ssDNA viruses; Microviridae; Microvirus.	Escherichia	Escherichia coli	no	yes	310953.3
DQ908929	Staphylococcus phage 80	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Staphylococcus	Staphylococcus	no	yes	DQ908929
EU622808	Bacillus phage Nf	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;Picovirinae; Phi29likevirus.	Bacillus	Bacillus	no	yes	EU622808
FJ483841	Enterobacteria phage Qbeta	Viruses; ssRNA positive-strand viruses, no DNA stage; Leviviridae;Allolevivirus.	Escherichia	Escherichia coli	no	yes	FJ483841
FJ539134	Enterobacteria phage FI	Viruses; ssRNA positive-strand viruses, no DNA stage; Leviviridae;Allolevivirus.	Escherichia	Escherichia coli	no	yes	FJ539134
FJ848884	Lactococcus phage CB19	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Lactococcus	Lactococcus lactis	no	yes	665886.2
FN297812	Vibrio phage VP58.5	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;VHML-like phages.	Vibrio	Vibrio parahaemolyticus	no	yes	FN297812
HQ641353	Vibrio phage ICP1_2001_A	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Vibrio	Vibrio cholerae	no	yes	HQ641348
HQ728263	Erwinia phage vB_EamM-M7	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Erwinia	Erwinia amylovora	no	yes	HQ728263
JF937096	Mycobacterium phage Henry	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	no	yes	6666666.17469
JF957057	Mycobacterium phage BPBiebs31	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	no	yes	6666666.3715
JQ740809	Lactococcus Phage ASCC502	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Lactococcus	Lactococcus lactis	no	yes	JQ740788
JQ740814	Lactococcus Phage ASCC544	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Lactococcus	Lactococcus lactis	no	yes	JQ740788
JQ896627	Mycobacterium phage ICleared	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	no	yes	6666666.13472
